,Compound,DateTime,Neg,Neu,Pos,Source,Text,Tweets Ago
398,0.0,2017-12-02 15:25:54,1.0,0.0,0.0,BBCWorld,"RT @ThankYouFromCat: AGRAÏM a la BBC i al periodista J. Reynolds el reportatge sobre els presos 
polítics.THANK YOU VERY MUCH, @BBCWorld an…",399
399,0.1027,2017-12-02 15:25:54,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",400
400,-0.6557,2017-12-02 15:25:52,0.725,0.213,0.062,CBSNews,"RT @drawandstrike: @Lrietsema @CBSNews He: 

1) is a convicted felon, so it is a crime for him to possess a gun. 
2) On top of being a conv…",401
401,0.1027,2017-12-02 15:25:52,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",402
402,0.0,2017-12-02 15:25:51,1.0,0.0,0.0,CBSNews,@CBSNews  https://t.co/6tcM6W2jbn,403
403,0.0,2017-12-02 15:25:47,1.0,0.0,0.0,BBCWorld,RT @BBCWorld: Microsoft is saying goodbye to Paint after 32 years https://t.co/1kXDubBwRB https://t.co/VS7hQKZ0Zk,404
404,0.0,2017-12-02 15:25:47,1.0,0.0,0.0,BBCWorld,@BBCWorld Roy Moore 2.0?,405
405,0.1027,2017-12-02 15:25:46,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",406
406,0.1027,2017-12-02 15:25:45,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",407
407,0.1027,2017-12-02 15:25:45,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",408
408,0.1027,2017-12-02 15:25:45,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",409
409,0.0,2017-12-02 15:25:43,1.0,0.0,0.0,CBSNews,@CBSNews @realDonaldTrump  https://t.co/7hvMBPqYIF,410
410,0.0,2017-12-02 15:25:43,1.0,0.0,0.0,CBSNews,"RT @logicalplz: ????????????????????????????????????????????CBS?NBC?ABC????????????

??????????????????????????????????????

https://t.co/5…",411
411,0.0,2017-12-02 15:25:42,1.0,0.0,0.0,BBCWorld,@RT_russian ?????: ??????????? ???????? https://t.co/iyU534I2WL   https://t.co/q1Q7YLIS1F )) ???????? ??????? Uncle… https://t.co/oCIPOH7QLL,412
412,0.0,2017-12-02 15:25:41,1.0,0.0,0.0,BBCWorld,You just can beat these Indian guys. There is some sense to this though... https://t.co/6bXynVsymS,413
413,0.0,2017-12-02 15:25:41,1.0,0.0,0.0,CBSNews,@CBSNews I can them as cellies....,414
414,0.128,2017-12-02 15:25:40,0.786,0.096,0.118,CBSNews,"RT @SLadreda: Wake up America stop watching 
.@ABC .@NBC .@CNN .@MSNBC 
.@CBSNews they're all #LIARS and yes .@realDonaldTrump 
.@POTUS is…",415
415,0.0,2017-12-02 15:25:40,1.0,0.0,0.0,CBSNews,"RT @danpfeiffer: Oh I don’t know, maybe focus your coverage on how the bill affects American’s pockets instead of politicians’ poll numbers…",416
416,0.1027,2017-12-02 15:25:39,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",417
417,0.0,2017-12-02 15:25:37,1.0,0.0,0.0,BBCWorld,"RT @OoAye8: #Myanmar, China to #deepen close ties
Beijing, 1 Dec 

State Counsellor Daw Aung San Suu Kyi and Chinese President Xi Jinping h…",418
418,0.0,2017-12-02 15:25:37,1.0,0.0,0.0,BBCWorld,"Brasil é o País da safadeza.
@MichelTemer gasta dinheiro pra comprar Deputados.
E falta dinheiro para investir na E… https://t.co/BjMcYjfFQv",419
419,-0.6059,2017-12-02 15:25:36,0.729,0.271,0.0,BBCWorld,@BBCWorld What a bizarre situation firstly that he should say such horrendous ill conceived things but also that he… https://t.co/xwHI9DBDoD,420
420,0.765,2017-12-02 15:25:36,0.476,0.105,0.419,CBSNews,RT @PatrickClaybon: Stop covering this like it’s sports for the love of god. https://t.co/jv2MDqKSEC,421
421,-0.2732,2017-12-02 15:25:36,0.9,0.1,0.0,CBSNews,"RT @kylegriffin1: The White House's proposed budget cut to HIV/AIDS efforts could result in millions of new AIDS-related infections, accord…",422
422,0.0,2017-12-02 15:25:36,1.0,0.0,0.0,CBSNews,@CBSNews And we should just believe him because he keeps saying it.,423
423,0.0,2017-12-02 15:25:35,1.0,0.0,0.0,CBSNews,"RT @CBSNews: JUST IN: Jared Kushner identified as the ""very senior"" Trump transition official who directed Michael Flynn to contact Russian…",424
424,0.1027,2017-12-02 15:25:34,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",425
425,0.1027,2017-12-02 15:25:34,0.909,0.0,0.091,BBCWorld,"RT @SimpnMild: *hasnt used paint since 5th grade*

Me: are you fuckin kidding me https://t.co/2kZGxjZsAr",426
426,-0.8316,2017-12-02 15:25:33,0.672,0.328,0.0,BBCWorld,"@BBCWorld What a stupid idiot. As long as there are such ignorant sexists around, islamic states will remain in their stone age.",427
427,0.1779,2017-12-02 15:25:30,0.611,0.168,0.221,BBCWorld,@BBCWorld @BBCNews I hope for at least 25 years no probation.,428
428,0.0,2017-12-02 15:25:29,1.0,0.0,0.0,CBSNews,"@ddiamond .@ABC @CBSNews @NBCNews @NewsHour @CNN @time @nytimes
@reuters @newsweek @usatoday @washingtonpost… https://t.co/gSKlDJWCHq",429
